session_id,task_id,model,domain,condition,final_answer,abstained,abstain_reason,flag_count,final_correct,hallucination,cost,steps
int_output_only_gpt4o_mini_halueval_0039_3b988d,halueval_0039,gpt4o_mini,knowledge,output_only,California,False,,0,False,True,6.585e-05,2
int_output_only_gpt4o_mini_toolbench_syn_0003_22c061,toolbench_syn_0003,gpt4o_mini,calendar,output_only,The workshop has been scheduled for next Monday at 14:00.,False,,0,True,False,6.765e-05,2
int_output_only_gpt4o_mini_weather_051_13b050,weather_051,gpt4o_mini,weather,output_only,"[I will provide the weather for Singapore on March 10, 2024, and the 5-day forecast shortly.]",False,,0,True,False,8.415e-05,2
int_output_only_gpt4o_mini_weather_089_5b4868,weather_089,gpt4o_mini,weather,output_only,Max steps reached.,False,,0,False,True,0.0005712,15
int_output_only_gpt4o_mini_calendar_100_f8c1c2,calendar_100,gpt4o_mini,calendar,output_only,"The ""Interview"" event has been created successfully.",False,,0,False,True,0.00047339999999999996,14
int_output_only_gpt4o_mini_weather_097_e5f304,weather_097,gpt4o_mini,weather,output_only,I cannot reliably answer this question.,True,Output-only interceptor: L3: answer has unsupported numbers: ['16.29'],0,False,False,0.00074655,14
int_output_only_gpt4o_mini_calendar_021_6b1f79,calendar_021,gpt4o_mini,calendar,output_only,Event 'Client Call' has been created for 2024-07-02 at 13:00 for 30 minutes.,False,,0,True,False,7.755e-05,2
int_output_only_gpt4o_mini_toolbench_syn_0058_f7f273,toolbench_syn_0058,gpt4o_mini,weather,output_only,[waiting for the forecast data],False,,0,False,True,4.47e-05,2
int_output_only_gpt4o_mini_medical_098_fed83d,medical_098,gpt4o_mini,medical,output_only,I cannot reliably answer this question.,True,Output-only interceptor: L3: answer has unsupported numbers: ['-01.'],0,False,False,0.00042554999999999996,14
int_output_only_gpt4o_mini_toolbench_syn_0070_10b17d,toolbench_syn_0070,gpt4o_mini,medical,output_only,[retrieving patient record...],False,,0,False,True,4.2149999999999995e-05,2
