session_id,task_id,model,domain,difficulty,injection_type,reached_agent2,reached_agent3,has_tool_errors,propagation_path,amplification_factor,final_correct,cost
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0003_e403df,toolbench_syn_0003,gpt4o_mini,calendar,hard,wrong_subtask,True,False,True,"[1, 2]",2,True,0.00030975
p4_wrong_subtask_gpt4o_mini_weather_089_2415e3,weather_089,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002592
p4_wrong_subtask_gpt4o_mini_weather_097_9c12bb,weather_097,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.00030075
p4_wrong_subtask_gpt4o_mini_medical_098_8fd892,medical_098,gpt4o_mini,medical,medium,wrong_subtask,False,False,False,[1],1,True,0.0002362499999999
p4_wrong_subtask_gpt4o_mini_weather_051_fd8bed,weather_051,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.00024
p4_wrong_subtask_gpt4o_mini_calendar_032_cf52e5,calendar_032,gpt4o_mini,calendar,easy,wrong_subtask,False,False,False,[1],1,True,0.0001605
p4_wrong_subtask_gpt4o_mini_calendar_100_4f2ad5,calendar_100,gpt4o_mini,calendar,medium,wrong_subtask,True,True,True,"[1, 2, 3]",3,False,0.0005832
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0058_68519a,toolbench_syn_0058,gpt4o_mini,weather,easy,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001977
p4_wrong_subtask_gpt4o_mini_calendar_021_2e4793,calendar_021,gpt4o_mini,calendar,easy,wrong_subtask,True,False,True,"[1, 2]",2,True,0.00038025
p4_wrong_subtask_gpt4o_mini_weather_038_3cd2b6,weather_038,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.00013455
p4_wrong_subtask_gpt4o_mini_calendar_081_89deb8,calendar_081,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.0003369
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0070_e6c3c3,toolbench_syn_0070,gpt4o_mini,medical,hard,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001896
p4_wrong_subtask_gpt4o_mini_weather_005_54d4ab,weather_005,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.0001408499999999
p4_wrong_subtask_gpt4o_mini_calendar_061_fd4b27,calendar_061,gpt4o_mini,calendar,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0002983499999999
p4_wrong_subtask_gpt4o_mini_weather_094_5a8c77,weather_094,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002716499999999
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0004_2f740e,toolbench_syn_0004,gpt4o_mini,weather,hard,wrong_subtask,False,True,False,"[1, 3]",2,False,0.00012735
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0074_74bd54,toolbench_syn_0074,gpt4o_mini,weather,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001779
p4_wrong_subtask_gpt4o_mini_calendar_089_dd4e14,calendar_089,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.00030015
p4_wrong_subtask_gpt4o_mini_weather_095_ad8ed7,weather_095,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002178
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0040_e83aba,toolbench_syn_0040,gpt4o_mini,medical,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001896
p4_wrong_subtask_gpt4o_mini_medical_093_e47354,medical_093,gpt4o_mini,medical,medium,wrong_subtask,False,False,False,[1],1,True,0.00022935
p4_wrong_subtask_gpt4o_mini_medical_014_76bc20,medical_014,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.00017745
