session_id,task_id,model,domain,condition,final_answer,abstained,abstain_reason,flag_count,l1_hits,l2_hits,final_correct,hallucination,cost,steps
abl_l1_only_gpt4o_mini_halueval_0039_659231,halueval_0039,gpt4o_mini,knowledge,l1_only,California,False,,0,0,0,False,True,7.185000000000001e-05,2
abl_l1_only_gpt4o_mini_weather_089_782325,weather_089,gpt4o_mini,weather,l1_only,[weather data for Dubai on 2024-05-22 and the forecast for the next 5 days],False,,0,0,0,True,False,9.345000000000001e-05,2
abl_l1_only_gpt4o_mini_toolbench_syn_0003_93da41,toolbench_syn_0003,gpt4o_mini,calendar,l1_only,The workshop has been scheduled for next Monday at 14:00.,False,,0,0,0,True,False,6.765e-05,2
abl_l1_only_gpt4o_mini_weather_097_17416e,weather_097,gpt4o_mini,weather,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'city'"", ""Missing required parameter: 'start_date'""]",2,2,0,False,False,0.00026055,9
abl_l1_only_gpt4o_mini_weather_051_e11d24,weather_051,gpt4o_mini,weather,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'days'""]",2,2,0,False,False,0.00024329999999999998,9
abl_l1_only_gpt4o_mini_calendar_100_eaea2d,calendar_100,gpt4o_mini,calendar,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'date'"", ""Missing required parameter: 'duration_minutes'""]",2,2,0,False,False,0.00020864999999999998,9
abl_l1_only_gpt4o_mini_calendar_021_a02470,calendar_021,gpt4o_mini,calendar,l1_only,Event 'Client Call' has been created for 2024-07-02 at 13:00 for 30 minutes.,False,,0,0,0,True,False,7.755e-05,2
abl_l1_only_gpt4o_mini_medical_098_39112b,medical_098,gpt4o_mini,medical,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'appointment_type'""]",2,2,0,False,False,0.000201,9
abl_l1_only_gpt4o_mini_toolbench_syn_0058_92c5ff,toolbench_syn_0058,gpt4o_mini,weather,l1_only,[waiting for the forecast data],False,,0,0,0,False,True,4.47e-05,2
abl_l1_only_gpt4o_mini_calendar_032_eceedd,calendar_032,gpt4o_mini,calendar,l1_only,"On 2024-08-20, you have the following meetings:
1. Code Review at 09:00 (Duration: 60 minutes)
2. Code Review at 09:00 (Duration: 60 minutes)
3. Team Standup at 13:00 (Duration: 90 minutes)",False,,1,1,0,False,True,0.00020175,8
abl_l1_only_gpt4o_mini_toolbench_syn_0070_d1e00d,toolbench_syn_0070,gpt4o_mini,medical,l1_only,[retrieving patient record...],False,,0,0,0,False,True,4.2149999999999995e-05,2
abl_l1_only_gpt4o_mini_weather_038_62a616,weather_038,gpt4o_mini,weather,l1_only,[the 7-day weather forecast for Sydney],False,,0,0,0,True,False,4.5449999999999993e-05,2
abl_l1_only_gpt4o_mini_calendar_081_0a6c89,calendar_081,gpt4o_mini,calendar,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'title'""]",2,2,0,False,False,0.00019499999999999997,6
abl_l1_only_gpt4o_mini_weather_005_ec0e46,weather_005,gpt4o_mini,weather,l1_only,[waiting for the response from the tool],False,,0,0,0,False,True,4.6949999999999996e-05,2
abl_l1_only_gpt4o_mini_toolbench_syn_0004_33e7b5,toolbench_syn_0004,gpt4o_mini,weather,l1_only,[waiting for the weather data],False,,0,0,0,False,True,3.9e-05,2
abl_l1_only_gpt4o_mini_calendar_061_9a6193,calendar_061,gpt4o_mini,calendar,l1_only,The 'Strategy Meeting' has been successfully created for 2024-08-12 at 10:00 for 60 minutes. The event is confirmed in the calendar.,False,,1,1,0,True,False,0.00036779999999999994,11
abl_l1_only_gpt4o_mini_calendar_089_4c1f8d,calendar_089,gpt4o_mini,calendar,l1_only,[events for 2024-08-05],False,,0,0,0,False,True,9.72e-05,2
abl_l1_only_gpt4o_mini_toolbench_syn_0074_2d8d92,toolbench_syn_0074,gpt4o_mini,weather,l1_only,[the current weather in Paris],False,,0,0,0,False,True,3.9e-05,2
abl_l1_only_gpt4o_mini_halueval_0053_f4e429,halueval_0053,gpt4o_mini,knowledge,l1_only,[waiting for response from the tool],False,,0,0,0,False,True,8.280000000000001e-05,2
abl_l1_only_gpt4o_mini_halueval_0068_acadb8,halueval_0068,gpt4o_mini,knowledge,l1_only,"John Goodman, the Golden Globe Award winner for best actor from ""Roseanne,"" starred alongside Anna Kendrick in ""Gigantic.""",False,,0,0,0,False,True,8.46e-05,2
abl_l1_only_gpt4o_mini_weather_094_47c84c,weather_094,gpt4o_mini,weather,l1_only,"Today's weather in Rome (2024-09-30) is 22°C, 40% humidity, and rainy. The historical weather from January 1 to January 7, 2023, shows temperatures ranging from 13°C to 34°C, with an average temperatu",False,,1,1,0,True,False,0.0006039000000000001,11
abl_l1_only_gpt4o_mini_toolbench_syn_0040_d61934,toolbench_syn_0040,gpt4o_mini,medical,l1_only,[retrieving patient record...],False,,0,0,0,False,True,4.2149999999999995e-05,2
abl_l1_only_gpt4o_mini_weather_095_195a25,weather_095,gpt4o_mini,weather,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'days'"", ""Unknown parameter: 'start_date'""]",2,2,0,False,False,0.00033120000000000003,9
abl_l1_only_gpt4o_mini_medical_093_40c48b,medical_093,gpt4o_mini,medical,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'drug_a'"", ""Missing required parameter: 'drug_b'""]",2,2,0,False,False,0.00021045,9
abl_l1_only_gpt4o_mini_halueval_0008_55825c,halueval_0008,gpt4o_mini,knowledge,l1_only,2006,False,,0,0,0,False,True,6.720000000000001e-05,2
abl_l1_only_gpt4o_mini_halueval_0007_c4b63a,halueval_0007,gpt4o_mini,knowledge,l1_only,Badr Hari,False,,0,0,0,False,True,8.984999999999999e-05,2
abl_l1_only_gpt4o_mini_medical_014_d611d3,medical_014,gpt4o_mini,medical,l1_only,[waiting for the response from the tool],False,,0,0,0,False,True,4.4999999999999996e-05,2
abl_l1_only_gpt4o_mini_calendar_028_197292,calendar_028,gpt4o_mini,calendar,l1_only,Event 'Budget Review' scheduled for 2024-08-20 at 13:00 for 90 minutes.,False,,0,0,0,True,False,7.17e-05,2
abl_l1_only_gpt4o_mini_toolbench_syn_0034_a85e03,toolbench_syn_0034,gpt4o_mini,calendar,l1_only,There is no Design Review scheduled on 2024-02-23. The events listed are a Team Standup and a Code Review.,False,,1,1,0,False,True,0.0001917,8
abl_l1_only_gpt4o_mini_calendar_088_f6e535,calendar_088,gpt4o_mini,calendar,l1_only,I cannot reliably answer this question due to detected errors.,True,"l1_only: L1: param_errors=[""Missing required parameter: 'date'"", ""Missing required parameter: 'duration_minutes'""]",2,2,0,False,False,0.0002409,9
abl_l1_only_gpt4o_mini_weather_007_4582a0,weather_007,gpt4o_mini,weather,l1_only,[waiting for the weather data],False,,0,0,0,False,True,5.55e-05,2
abl_l1_only_gpt4o_mini_weather_012_05260c,weather_012,gpt4o_mini,weather,l1_only,[waiting for the forecast data],False,,0,0,0,False,True,6.269999999999999e-05,2
abl_l1_only_gpt4o_mini_halueval_0042_cf848b,halueval_0042,gpt4o_mini,knowledge,l1_only,"The song was from the album ""The Chimes,"" released in 1990.",False,,0,0,0,False,True,8.999999999999999e-05,2
abl_l1_only_gpt4o_mini_medical_047_1b7627,medical_047,gpt4o_mini,medical,l1_only,[Checking for interactions...],False,,0,0,0,True,False,5.76e-05,2
