session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_gpt4o_mini_ecommerce_s1_0033_41c83d,ecommerce_s1_0033,gpt4o_mini,ecommerce,easy,synthetic,,False,True,4.71e-05,118,49,2
bl_gpt4o_mini_ecommerce_s1_0031_de11cd,ecommerce_s1_0031,gpt4o_mini,ecommerce,easy,synthetic,,False,True,7.125e-05,119,89,2
bl_gpt4o_mini_ecommerce_s1_0032_850681,ecommerce_s1_0032,gpt4o_mini,ecommerce,easy,synthetic,,False,True,4.695e-05,117,49,2
bl_gpt4o_mini_ecommerce_s1_0034_17f92e,ecommerce_s1_0034,gpt4o_mini,ecommerce,easy,synthetic,,False,True,7.305e-05,131,89,2
bl_gpt4o_mini_ecommerce_s1_0037_493d5e,ecommerce_s1_0037,gpt4o_mini,ecommerce,easy,synthetic,,False,True,4.695e-05,117,49,2
bl_gpt4o_mini_ecommerce_s1_0036_0b951d,ecommerce_s1_0036,gpt4o_mini,ecommerce,easy,synthetic,,False,True,6.704999999999999e-05,119,82,2
bl_gpt4o_mini_ecommerce_s1_0035_57502e,ecommerce_s1_0035,gpt4o_mini,ecommerce,easy,synthetic,search_products,True,False,0.00023535,945,156,8
bl_gpt4o_mini_ecommerce_s1_0030_00b44f,ecommerce_s1_0030,gpt4o_mini,ecommerce,easy,synthetic,search_products,True,False,0.00070455,3637,265,15
bl_gpt4o_mini_ecommerce_s1_0038_7bf0cc,ecommerce_s1_0038,gpt4o_mini,ecommerce,easy,synthetic,get_product,True,True,0.0001164,356,105,5
bl_gpt4o_mini_ecommerce_s1_0039_cd07e0,ecommerce_s1_0039,gpt4o_mini,ecommerce,easy,synthetic,,False,True,7.98e-05,132,100,2
bl_gpt4o_mini_ecommerce_s1_0042_ef0084,ecommerce_s1_0042,gpt4o_mini,ecommerce,easy,synthetic,,False,True,4.695e-05,117,49,2
bl_gpt4o_mini_ecommerce_s1_0043_70c15f,ecommerce_s1_0043,gpt4o_mini,ecommerce,easy,synthetic,get_product,True,True,0.00011865,359,108,5
bl_gpt4o_mini_ecommerce_s1_0041_fd9209,ecommerce_s1_0041,gpt4o_mini,ecommerce,easy,synthetic,search_products,True,True,0.00035174999999999996,1417,232,11
bl_gpt4o_mini_ecommerce_s1_0040_d1d93e,ecommerce_s1_0040,gpt4o_mini,ecommerce,easy,synthetic,search_products,True,False,0.0005937000000000001,2926,258,15
bl_gpt4o_mini_ecommerce_s1_0046_6add60,ecommerce_s1_0046,gpt4o_mini,ecommerce,easy,synthetic,,False,False,5.565e-05,119,63,2
bl_gpt4o_mini_ecommerce_s1_0047_d91bae,ecommerce_s1_0047,gpt4o_mini,ecommerce,easy,synthetic,,False,True,4.695e-05,117,49,2
bl_gpt4o_mini_ecommerce_s1_0044_30ec33,ecommerce_s1_0044,gpt4o_mini,ecommerce,easy,synthetic,get_product,False,True,0.00033989999999999997,1278,247,11
bl_gpt4o_mini_ecommerce_s1_0045_aa773a,ecommerce_s1_0045,gpt4o_mini,ecommerce,easy,synthetic,search_products,True,False,0.00023129999999999998,946,149,8
bl_gpt4o_mini_ecommerce_s1_0048_3da29a,ecommerce_s1_0048,gpt4o_mini,ecommerce,easy,synthetic,get_product,True,True,0.00011879999999999999,356,109,5
bl_gpt4o_mini_ecommerce_s1_0052_9f7b99,ecommerce_s1_0052,gpt4o_mini,ecommerce,medium,synthetic,,False,False,0.0001002,140,132,2
bl_gpt4o_mini_ecommerce_s1_0051_c7e762,ecommerce_s1_0051,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00022935000000000002,833,174,8
bl_gpt4o_mini_ecommerce_s1_0050_c626db,ecommerce_s1_0050,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00037454999999999997,1453,261,11
bl_gpt4o_mini_ecommerce_s1_0049_6a009c,ecommerce_s1_0049,gpt4o_mini,ecommerce,easy,synthetic,get_product,False,True,0.000366,1288,288,11
bl_gpt4o_mini_ecommerce_s1_0053_b7170e,ecommerce_s1_0053,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0003825,1442,277,11
bl_gpt4o_mini_ecommerce_s1_0056_160dd1,ecommerce_s1_0056,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00040215,1789,223,11
bl_gpt4o_mini_ecommerce_s1_0055_9a92f1,ecommerce_s1_0055,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0004077,1610,277,11
bl_gpt4o_mini_ecommerce_s1_0058_aef7f7,ecommerce_s1_0058,gpt4o_mini,ecommerce,medium,synthetic,,False,False,7.379999999999999e-05,140,88,2
bl_gpt4o_mini_ecommerce_s1_0054_063da8,ecommerce_s1_0054,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023009999999999998,846,172,8
bl_gpt4o_mini_ecommerce_s1_0060_8e981c,ecommerce_s1_0060,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023715,853,182,8
bl_gpt4o_mini_ecommerce_s1_0061_87ddda,ecommerce_s1_0061,gpt4o_mini,ecommerce,medium,synthetic,,False,False,7.439999999999999e-05,140,89,2
bl_gpt4o_mini_ecommerce_s1_0059_2e3469,ecommerce_s1_0059,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00042839999999999995,1840,254,11
bl_gpt4o_mini_ecommerce_s1_0057_fd166d,ecommerce_s1_0057,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00033810000000000003,1286,242,11
bl_gpt4o_mini_ecommerce_s1_0063_00423e,ecommerce_s1_0063,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023085,839,175,8
bl_gpt4o_mini_ecommerce_s1_0062_10c971,ecommerce_s1_0062,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.000489,2168,273,15
bl_gpt4o_mini_ecommerce_s1_0064_78ec74,ecommerce_s1_0064,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00039434999999999996,1573,264,11
bl_gpt4o_mini_ecommerce_s1_0065_1d6103,ecommerce_s1_0065,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00047805,2127,265,15
bl_gpt4o_mini_ecommerce_s1_0066_a78e9d,ecommerce_s1_0066,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.0002286,832,173,8
bl_gpt4o_mini_ecommerce_s1_0067_1292be,ecommerce_s1_0067,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0002448,892,185,8
bl_gpt4o_mini_ecommerce_s1_0070_56b339,ecommerce_s1_0070,gpt4o_mini,ecommerce,medium,synthetic,,False,False,9.254999999999999e-05,141,119,2
bl_gpt4o_mini_ecommerce_s1_0068_2c746c,ecommerce_s1_0068,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0003804,1472,266,11
bl_gpt4o_mini_ecommerce_s1_0069_9c70ae,ecommerce_s1_0069,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.0003459,1302,251,11
bl_gpt4o_mini_ecommerce_s1_0072_391aa8,ecommerce_s1_0072,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023024999999999999,839,174,8
bl_gpt4o_mini_ecommerce_s1_0071_7623c2,ecommerce_s1_0071,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00039914999999999997,1465,299,11
bl_gpt4o_mini_ecommerce_s1_0076_6fa83c,ecommerce_s1_0076,gpt4o_mini,ecommerce,medium,synthetic,,False,False,5.9399999999999994e-05,140,64,2
bl_gpt4o_mini_ecommerce_s1_0075_45101b,ecommerce_s1_0075,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.000234,836,181,8
bl_gpt4o_mini_ecommerce_s1_0074_44904e,ecommerce_s1_0074,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00037785,1435,271,11
bl_gpt4o_mini_ecommerce_s1_0073_4e581c,ecommerce_s1_0073,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00055995,2389,336,14
bl_gpt4o_mini_ecommerce_s1_0078_3b7c4d,ecommerce_s1_0078,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023954999999999997,853,186,8
bl_gpt4o_mini_ecommerce_s1_0077_106a55,ecommerce_s1_0077,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0005235,2238,313,15
bl_gpt4o_mini_ecommerce_s1_0079_7c6ea3,ecommerce_s1_0079,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00038355,1549,252,11
bl_gpt4o_mini_ecommerce_s1_0082_0cf9e4,ecommerce_s1_0082,gpt4o_mini,ecommerce,medium,synthetic,,False,False,7.575e-05,141,91,2
bl_gpt4o_mini_ecommerce_s1_0081_5c2d1e,ecommerce_s1_0081,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023505,859,177,8
bl_gpt4o_mini_ecommerce_s1_0080_f112c9,ecommerce_s1_0080,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00038295,1449,276,11
bl_gpt4o_mini_ecommerce_s1_0084_04d0c4,ecommerce_s1_0084,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023925,851,186,8
bl_gpt4o_mini_ecommerce_s1_0085_513946,ecommerce_s1_0085,gpt4o_mini,ecommerce,medium,synthetic,,False,False,0.0001272,140,177,2
bl_gpt4o_mini_ecommerce_s1_0083_0a8073,ecommerce_s1_0083,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,True,0.00038475,1441,281,11
bl_gpt4o_mini_ecommerce_s1_0088_e3baf1,ecommerce_s1_0088,gpt4o_mini,ecommerce,medium,synthetic,,False,False,7.395e-05,141,88,2
bl_gpt4o_mini_ecommerce_s1_0086_81f39e,ecommerce_s1_0086,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0003717,1434,261,11
bl_gpt4o_mini_ecommerce_s1_0087_49ea81,ecommerce_s1_0087,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00032355000000000003,1257,225,11
bl_gpt4o_mini_ecommerce_s1_0091_34eb88,ecommerce_s1_0091,gpt4o_mini,ecommerce,medium,synthetic,,False,False,8.595e-05,141,108,2
bl_gpt4o_mini_ecommerce_s1_0090_23faff,ecommerce_s1_0090,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00023339999999999998,848,177,8
bl_gpt4o_mini_ecommerce_s1_0094_dcad8a,ecommerce_s1_0094,gpt4o_mini,ecommerce,medium,synthetic,,False,False,7.5e-05,140,90,2
bl_gpt4o_mini_ecommerce_s1_0089_bb32a2,ecommerce_s1_0089,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.0003888,1424,292,11
bl_gpt4o_mini_ecommerce_s1_0093_b6d676,ecommerce_s1_0093,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00024165,851,190,8
bl_gpt4o_mini_ecommerce_s1_0092_99dd98,ecommerce_s1_0092,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00038805,1423,291,11
bl_gpt4o_mini_ecommerce_s1_0096_76d0bc,ecommerce_s1_0096,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.0002328,844,177,8
bl_gpt4o_mini_ecommerce_s1_0095_7b15a1,ecommerce_s1_0095,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,True,0.00038595,1449,281,11
bl_gpt4o_mini_ecommerce_s1_0097_bf4433,ecommerce_s1_0097,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00040905,1599,282,11
bl_gpt4o_mini_ecommerce_s1_0100_eaee15,ecommerce_s1_0100,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00043545,1715,297,11
bl_gpt4o_mini_ecommerce_s1_0099_5f88b2,ecommerce_s1_0099,gpt4o_mini,ecommerce,medium,synthetic,get_product,True,False,0.00034815,1305,254,11
bl_gpt4o_mini_ecommerce_s1_0098_8506c3,ecommerce_s1_0098,gpt4o_mini,ecommerce,medium,synthetic,search_products,True,False,0.00037664999999999997,1403,277,11
bl_gpt4o_mini_ecommerce_s1_0104_e7c4f0,ecommerce_s1_0104,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00037109999999999997,1434,260,11
bl_gpt4o_mini_ecommerce_s1_0102_fc7652,ecommerce_s1_0102,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.0006538499999999999,2407,488,11
bl_gpt4o_mini_ecommerce_s1_0101_d76574,ecommerce_s1_0101,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00039059999999999995,1468,284,11
bl_gpt4o_mini_ecommerce_s1_0103_c6c8fe,ecommerce_s1_0103,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.00063675,2561,421,15
bl_gpt4o_mini_ecommerce_s1_0105_637762,ecommerce_s1_0105,gpt4o_mini,ecommerce,hard,synthetic,,False,False,0.0001074,148,142,2
bl_gpt4o_mini_ecommerce_s1_0107_64cdac,ecommerce_s1_0107,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.0003717,1438,260,11
bl_gpt4o_mini_ecommerce_s1_0106_18880e,ecommerce_s1_0106,gpt4o_mini,ecommerce,hard,synthetic,get_product,False,False,0.0006138,2740,338,15
bl_gpt4o_mini_ecommerce_s1_0109_f84ecb,ecommerce_s1_0109,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.0006520499999999999,2627,430,15
bl_gpt4o_mini_ecommerce_s1_0111_41b31a,ecommerce_s1_0111,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00037065000000000004,1351,280,11
bl_gpt4o_mini_ecommerce_s1_0110_b70d8a,ecommerce_s1_0110,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00036990000000000005,1430,259,11
bl_gpt4o_mini_ecommerce_s1_0112_aa3f23,ecommerce_s1_0112,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00042285,1707,278,11
bl_gpt4o_mini_ecommerce_s1_0113_da30f0,ecommerce_s1_0113,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.0003792,1452,269,11
bl_gpt4o_mini_ecommerce_s1_0114_e23b34,ecommerce_s1_0114,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00037395,1305,297,11
bl_gpt4o_mini_ecommerce_s1_0108_3f1755,ecommerce_s1_0108,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.0006062999999999999,2354,422,15
bl_gpt4o_mini_ecommerce_s1_0115_623c72,ecommerce_s1_0115,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00043065,1727,286,11
bl_gpt4o_mini_ecommerce_s1_0118_d49c59,ecommerce_s1_0118,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.0002787,990,217,8
bl_gpt4o_mini_ecommerce_s1_0117_35c28e,ecommerce_s1_0117,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00042075,1709,274,11
bl_gpt4o_mini_ecommerce_s1_0116_e94834,ecommerce_s1_0116,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00037830000000000003,1450,268,11
bl_gpt4o_mini_ecommerce_s1_0119_2bd323,ecommerce_s1_0119,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00037469999999999995,1442,264,11
bl_gpt4o_mini_ecommerce_s1_0120_8a319e,ecommerce_s1_0120,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00039765,1403,312,11
