session_id,task_id,model,domain,difficulty,injection_turn,num_turns,propagation_depth,propagation_rate,compounding_score,self_correction_turn,self_corrected,final_correct,cost
p3_gpt4o_mini_weather_095_7dd988,weather_095,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.00271245
p3_gpt4o_mini_weather_097_e4b869,weather_097,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0028863
p3_gpt4o_mini_medical_098_d5f968,medical_098,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0032034
p3_gpt4o_mini_medical_093_55e761,medical_093,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0022575
p3_gpt4o_mini_calendar_028_33b568,calendar_028,gpt4o_mini,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.0042457499999999995
p3_gpt4o_mini_medical_047_505b23,medical_047,gpt4o_mini,medical,easy,2,8,1,0.167,0.0,5,1,False,0.0016693499999999998
p3_gpt4o_mini_weather_090_1d2339,weather_090,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0030760500000000003
p3_gpt4o_mini_weather_096_d0daab,weather_096,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0030635999999999997
p3_gpt4o_mini_calendar_001_9f1a39,calendar_001,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.00312165
p3_gpt4o_mini_medical_031_ca8f87,medical_031,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0028568999999999995
p3_gpt4o_mini_weather_086_7f76e9,weather_086,gpt4o_mini,weather,medium,2,8,1,0.167,0.0,5,1,True,0.0026535
p3_gpt4o_mini_calendar_072_5eccf3,calendar_072,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.0033972000000000004
p3_gpt4o_mini_calendar_054_3c8eb0,calendar_054,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.00364665
p3_gpt4o_mini_calendar_059_4ca602,calendar_059,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.0038979000000000006
p3_gpt4o_mini_weather_032_d9df5a,weather_032,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0028911
p3_gpt4o_mini_medical_045_409b43,medical_045,gpt4o_mini,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.00261315
p3_gpt4o_mini_medical_068_369c8f,medical_068,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0029502
p3_gpt4o_mini_calendar_033_96481f,calendar_033,gpt4o_mini,calendar,easy,2,8,1,0.167,0.0,5,1,True,0.00192615
p3_gpt4o_mini_weather_077_2b9fda,weather_077,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.00272235
p3_gpt4o_mini_weather_003_167c1b,weather_003,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.00274605
p3_gpt4o_mini_weather_067_d196c0,weather_067,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0031698
p3_gpt4o_mini_medical_070_83dc40,medical_070,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0031244999999999997
p3_gpt4o_mini_calendar_034_94739a,calendar_034,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0034084499999999995
p3_gpt4o_mini_medical_009_fe45ca,medical_009,gpt4o_mini,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0021996
p3_gpt4o_mini_medical_097_3b4608,medical_097,gpt4o_mini,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0016979999999999999
p3_gpt4o_mini_medical_039_4dbe72,medical_039,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.00279585
p3_gpt4o_mini_medical_087_bdcfa1,medical_087,gpt4o_mini,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0020617499999999998
p3_gpt4o_mini_weather_040_7c5a5c,weather_040,gpt4o_mini,weather,easy,2,8,1,0.167,0.0,-1,0,False,0.0008163000000000001
p3_gpt4o_mini_weather_076_037a82,weather_076,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0029085
p3_gpt4o_mini_weather_068_c0a9e0,weather_068,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0031372499999999994
p3_gpt4o_mini_weather_098_85af2a,weather_098,gpt4o_mini,weather,medium,2,8,5,0.833,-0.357,8,1,False,0.00232035
p3_gpt4o_mini_medical_089_565dc2,medical_089,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0031934999999999993
p3_gpt4o_mini_weather_061_0dff8b,weather_061,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0031090500000000004
p3_gpt4o_mini_calendar_093_1d1af8,calendar_093,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.0035724
p3_gpt4o_mini_medical_055_0a1e8a,medical_055,gpt4o_mini,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0024640499999999997
p3_gpt4o_mini_weather_028_da284b,weather_028,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.00082155
p3_gpt4o_mini_medical_094_03f828,medical_094,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0033627
p3_gpt4o_mini_medical_021_78d4f3,medical_021,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0026427
