session_id,task_id,model,domain,difficulty,source,error_type,tool_selected,tool_correct,final_correct,eps,weps,reached_output,cascade_count,cost
p2_type_mismatch_gpt4o_mini_toolbench_syn_0003_0e6e54,toolbench_syn_0003,gpt4o_mini,calendar,hard,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,6.765e-05
p2_type_mismatch_gpt4o_mini_weather_089_651e54,weather_089,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,9.345e-05
p2_type_mismatch_gpt4o_mini_weather_051_e6fe99,weather_051,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.815e-05
p2_type_mismatch_gpt4o_mini_calendar_100_91ff35,calendar_100,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.00045915
p2_type_mismatch_gpt4o_mini_medical_098_9ce984,medical_098,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,1,0.0004255499999999
p2_type_mismatch_gpt4o_mini_weather_097_a05e74,weather_097,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0005553
p2_type_mismatch_gpt4o_mini_calendar_021_5f7038,calendar_021,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.874999999999999e-05
p2_type_mismatch_gpt4o_mini_calendar_032_15307f,calendar_032,gpt4o_mini,calendar,easy,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.00020235
p2_type_mismatch_gpt4o_mini_toolbench_syn_0058_7df682,toolbench_syn_0058,gpt4o_mini,weather,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.47e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0070_6a29ec,toolbench_syn_0070,gpt4o_mini,medical,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_weather_038_996e58,weather_038,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.185e-05
p2_type_mismatch_gpt4o_mini_weather_005_63788a,weather_005,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.815e-05
p2_type_mismatch_gpt4o_mini_calendar_061_356b91,calendar_061,gpt4o_mini,calendar,medium,synthetic,type_mismatch,,False,False,0,0.0,False,0,0.0001037999999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0004_2264c5,toolbench_syn_0004,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.56e-05
p2_type_mismatch_gpt4o_mini_calendar_081_f64e4a,calendar_081,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,1,0.0004318499999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0074_78bbc4,toolbench_syn_0074,gpt4o_mini,weather,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,3.9e-05
p2_type_mismatch_gpt4o_mini_calendar_089_e9d1a5,calendar_089,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,0,0.0003731999999999
p2_type_mismatch_gpt4o_mini_weather_094_638695,weather_094,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0005691
p2_type_mismatch_gpt4o_mini_weather_095_a637e4,weather_095,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,False,2,0.6,True,0,0.00049575
p2_type_mismatch_gpt4o_mini_toolbench_syn_0040_0ff774,toolbench_syn_0040,gpt4o_mini,medical,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0034_ba292b,toolbench_syn_0034,gpt4o_mini,calendar,easy,toolbench_synthetic,type_mismatch,get_events,False,True,1,0.3,False,0,0.0001656
p2_type_mismatch_gpt4o_mini_medical_014_730ff5,medical_014,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.3799999999999994e-05
p2_type_mismatch_gpt4o_mini_medical_093_96bf83,medical_093,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004353
p2_type_mismatch_gpt4o_mini_calendar_088_25c1fb,calendar_088,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.0004534499999999
p2_type_mismatch_gpt4o_mini_weather_012_283b2c,weather_012,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,6.269999999999999e-05
p2_type_mismatch_gpt4o_mini_calendar_028_18e6cc,calendar_028,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.47e-05
p2_type_mismatch_gpt4o_mini_weather_007_7f3641,weather_007,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,5.73e-05
p2_type_mismatch_gpt4o_mini_medical_047_8ef96e,medical_047,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.88e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0096_126d96,toolbench_syn_0096,gpt4o_mini,weather,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,5.4300000000000005e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0045_70677e,toolbench_syn_0045,gpt4o_mini,weather,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,3.9e-05
p2_type_mismatch_gpt4o_mini_weather_090_d1361d,weather_090,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.095e-05
p2_type_mismatch_gpt4o_mini_weather_027_87f78b,weather_027,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,5.19e-05
p2_type_mismatch_gpt4o_mini_weather_078_6269db,weather_078,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,0.0001039499999999
p2_type_mismatch_gpt4o_mini_medical_063_746778,medical_063,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,0,0.0002185499999999
p2_type_mismatch_gpt4o_mini_medical_008_b34348,medical_008,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.655e-05
p2_type_mismatch_gpt4o_mini_calendar_085_7aa217,calendar_085,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,0,0.0003765
p2_type_mismatch_gpt4o_mini_weather_096_ea5530,weather_096,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.515e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0094_494bd6,toolbench_syn_0094,gpt4o_mini,medical,medium,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,5.37e-05
