session_id,task_id,model,domain,difficulty,source,error_type,tool_selected,tool_correct,final_correct,eps,weps,reached_output,cascade_count,cost
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0033_98cc38,ecommerce_s1_0033,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,4.71e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0032_3457cc,ecommerce_s1_0032,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,4.695e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0031_84087d,ecommerce_s1_0031,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,7.185e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0036_64124c,ecommerce_s1_0036,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,False,0,0.0,False,0,5.264999999999999e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0034_3c6061,ecommerce_s1_0034,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,7.305e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0038_477e75,ecommerce_s1_0038,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,4.71e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0037_0c6c36,ecommerce_s1_0037,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,4.695e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0039_34e665,ecommerce_s1_0039,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,True,0,0.0,False,0,7.74e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0030_ebfe83,ecommerce_s1_0030,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00071505
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0042_714352,ecommerce_s1_0042,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00012119999999999999
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0041_480db8,ecommerce_s1_0041,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00019695
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0040_27fe65,ecommerce_s1_0040,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0007261500000000001
