session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_gpt4o_mini_halueval_0039_02e75c,halueval_0039,gpt4o_mini,knowledge,hard,halueval,,False,False,6.345e-05,239,46,2
bl_gpt4o_mini_weather_089_0d6afb,weather_089,gpt4o_mini,weather,medium,synthetic,,False,True,9.345e-05,135,122,2
bl_gpt4o_mini_toolbench_syn_0003_1f2429,toolbench_syn_0003,gpt4o_mini,calendar,hard,toolbench_synthetic,,False,True,6.765e-05,107,86,2
bl_gpt4o_mini_weather_051_a4a9a7,weather_051,gpt4o_mini,weather,medium,synthetic,,False,True,7.455e-05,133,91,2
bl_gpt4o_mini_medical_098_d74b3c,medical_098,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0003408,1180,273,11
bl_gpt4o_mini_calendar_100_639c91,calendar_100,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.00045735,1793,314,14
bl_gpt4o_mini_calendar_021_366b05,calendar_021,gpt4o_mini,calendar,easy,synthetic,,False,True,7.874999999999999e-05,121,101,2
bl_gpt4o_mini_weather_097_9f0902,weather_097,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.00072795,2325,632,14
bl_gpt4o_mini_calendar_032_f4daa7,calendar_032,gpt4o_mini,calendar,easy,synthetic,get_events,True,False,0.0001964999999999,662,162,8
bl_gpt4o_mini_toolbench_syn_0058_e03aed,toolbench_syn_0058,gpt4o_mini,weather,easy,toolbench_synthetic,,False,False,4.47e-05,118,45,2
bl_gpt4o_mini_toolbench_syn_0070_db83a6,toolbench_syn_0070,gpt4o_mini,medical,hard,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_weather_038_8c1b71,weather_038,gpt4o_mini,weather,easy,synthetic,,False,True,4.305e-05,119,42,2
bl_gpt4o_mini_weather_005_1a041b,weather_005,gpt4o_mini,weather,easy,synthetic,,False,True,4.815e-05,121,50,2
bl_gpt4o_mini_calendar_061_ff5716,calendar_061,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.0003677999999999,1304,287,11
bl_gpt4o_mini_toolbench_syn_0004_6b7526,toolbench_syn_0004,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,4.68e-05,116,49,2
bl_gpt4o_mini_calendar_081_2e9cab,calendar_081,gpt4o_mini,calendar,medium,synthetic,create_event,True,False,0.0005472,1976,418,15
bl_gpt4o_mini_toolbench_syn_0074_eccd03,toolbench_syn_0074,gpt4o_mini,weather,medium,toolbench_synthetic,,False,False,3.72e-05,116,33,2
bl_gpt4o_mini_weather_094_7978be,weather_094,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0005889,1610,579,11
bl_gpt4o_mini_halueval_0053_5c35bb,halueval_0053,gpt4o_mini,knowledge,hard,halueval,,False,False,9.06e-05,216,97,2
bl_gpt4o_mini_halueval_0068_df26c2,halueval_0068,gpt4o_mini,knowledge,hard,halueval,,False,False,8.7e-05,204,94,2
bl_gpt4o_mini_calendar_089_656d0b,calendar_089,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.00050835,1917,368,14
bl_gpt4o_mini_toolbench_syn_0040_79d129,toolbench_syn_0040,gpt4o_mini,medical,medium,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_halueval_0007_c3366a,halueval_0007,gpt4o_mini,knowledge,medium,halueval,,False,False,8.924999999999999e-05,227,92,2
bl_gpt4o_mini_medical_093_54ef4e,medical_093,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,True,0.000462,1696,346,14
bl_gpt4o_mini_halueval_0008_215e0c,halueval_0008,gpt4o_mini,knowledge,medium,halueval,,False,False,6.720000000000001e-05,208,60,2
bl_gpt4o_mini_weather_095_0fdfaf,weather_095,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0006864,2348,557,14
bl_gpt4o_mini_toolbench_syn_0034_194a37,toolbench_syn_0034,gpt4o_mini,calendar,easy,toolbench_synthetic,get_events,False,False,0.00018945,611,163,8
bl_gpt4o_mini_calendar_028_1213f2,calendar_028,gpt4o_mini,calendar,easy,synthetic,,False,True,7.53e-05,118,96,2
bl_gpt4o_mini_calendar_088_aa5c40,calendar_088,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.0005038499999999,1955,351,14
bl_gpt4o_mini_medical_014_cdabac,medical_014,gpt4o_mini,medical,easy,synthetic,get_patient_record,True,True,0.00014025,543,98,8
bl_gpt4o_mini_weather_012_77ac25,weather_012,gpt4o_mini,weather,easy,synthetic,,False,False,5.49e-05,126,60,2
bl_gpt4o_mini_weather_007_4bdc15,weather_007,gpt4o_mini,weather,easy,synthetic,,False,False,5.37e-05,126,58,2
bl_gpt4o_mini_halueval_0042_423077,halueval_0042,gpt4o_mini,knowledge,hard,halueval,,False,False,8.4e-05,204,89,2
bl_gpt4o_mini_toolbench_syn_0096_65d422,toolbench_syn_0096,gpt4o_mini,weather,medium,toolbench_synthetic,,False,False,4.77e-05,118,50,2
bl_gpt4o_mini_medical_047_81c95c,medical_047,gpt4o_mini,medical,easy,synthetic,,False,True,5.76e-05,112,68,2
bl_gpt4o_mini_halueval_0025_e08707,halueval_0025,gpt4o_mini,knowledge,hard,halueval,,False,False,6.405e-05,207,55,2
bl_gpt4o_mini_toolbench_syn_0045_10ce10,toolbench_syn_0045,gpt4o_mini,weather,easy,toolbench_synthetic,,False,False,3.72e-05,116,33,2
bl_gpt4o_mini_weather_027_717022,weather_027,gpt4o_mini,weather,easy,synthetic,,False,False,5.25e-05,126,56,2
bl_gpt4o_mini_halueval_0026_b5205f,halueval_0026,gpt4o_mini,knowledge,hard,halueval,,False,False,7.065e-05,215,64,2
bl_gpt4o_mini_weather_078_2d470c,weather_078,gpt4o_mini,weather,medium,synthetic,,False,True,0.0001003499999999,133,134,2
bl_gpt4o_mini_medical_063_06ca7b,medical_063,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,True,0.00021135,641,192,8
bl_gpt4o_mini_calendar_085_765e1e,calendar_085,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.0003715499999999,1313,291,11
bl_gpt4o_mini_weather_090_facb75,weather_090,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0005829,2046,460,14
bl_gpt4o_mini_medical_008_50f543,medical_008,gpt4o_mini,medical,easy,synthetic,,False,True,5.655e-05,117,65,2
bl_gpt4o_mini_calendar_001_acdb3e,calendar_001,gpt4o_mini,calendar,easy,synthetic,,False,True,8.13e-05,122,105,2
