session_id,task_id,model,domain,injection_type,predicted_stage,ground_truth_stage,confidence,method,final_correct,correct_attribution
p2_missing_required_deepseek_v3_calendar_004_71ebad,calendar_004,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_007_aad94e,calendar_007,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_016_95fc2d,calendar_016,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_032_6a5e78,calendar_032,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_044_7c1216,calendar_044,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_056_b6158f,calendar_056,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_070_4e6435,calendar_070,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_080_fb5ff4,calendar_080,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_088_a72e80,calendar_088,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_calendar_099_054d5d,calendar_099,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_007_62d953,medical_007,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_039_3667fa,medical_039,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_058_09a565,medical_058,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_062_dfafa2,medical_062,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_064_07b8ca,medical_064,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_068_2f3a48,medical_068,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_070_fbfdbf,medical_070,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_087_85ed56,medical_087,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_094_c44508,medical_094,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_097_a45f95,medical_097,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_medical_098_d212f9,medical_098,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0000_3a9025,toolbench_syn_0000,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0004_02f431,toolbench_syn_0004,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0010_1cc862,toolbench_syn_0010,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0017_643b98,toolbench_syn_0017,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0018_f91087,toolbench_syn_0018,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0022_db3991,toolbench_syn_0022,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0024_26b4e0,toolbench_syn_0024,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0039_da430c,toolbench_syn_0039,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0040_d2027a,toolbench_syn_0040,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0041_c32526,toolbench_syn_0041,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0042_4e541e,toolbench_syn_0042,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0044_3e9ec1,toolbench_syn_0044,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0045_eb843f,toolbench_syn_0045,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0048_38a069,toolbench_syn_0048,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0053_b18886,toolbench_syn_0053,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0058_76c4e9,toolbench_syn_0058,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0061_aa7cf2,toolbench_syn_0061,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0062_513763,toolbench_syn_0062,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0063_7d6ce6,toolbench_syn_0063,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0064_7312ff,toolbench_syn_0064,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0065_b66bed,toolbench_syn_0065,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0070_e13750,toolbench_syn_0070,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0072_2a0c79,toolbench_syn_0072,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0074_6f97fb,toolbench_syn_0074,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0075_9c9ea3,toolbench_syn_0075,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0078_7f3674,toolbench_syn_0078,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0082_a7bfea,toolbench_syn_0082,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0084_68db26,toolbench_syn_0084,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0085_f77fbb,toolbench_syn_0085,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
