session_id,task_id,model,domain,condition,final_answer,abstained,abstain_reason,flag_count,final_correct,hallucination,cost,steps
ctrl_gemini_20_flash_calendar_005_746246,calendar_005,gemini_20_flash,calendar,no_interceptor,Event EVT_5499 deleted.,False,,0,True,False,3.33e-05,2
ctrl_gemini_20_flash_calendar_001_e312b8,calendar_001,gemini_20_flash,calendar,no_interceptor,Event created.,False,,0,True,False,4.1700000000000004e-05,2
ctrl_gemini_20_flash_calendar_003_963c87,calendar_003,gemini_20_flash,calendar,no_interceptor,Event scheduled!,False,,0,True,False,5.42e-05,2
ctrl_gemini_20_flash_calendar_007_0b073c,calendar_007,gemini_20_flash,calendar,no_interceptor,There are no events scheduled for 2024-07-15.,False,,0,True,False,3.7300000000000005e-05,2
ctrl_gemini_20_flash_calendar_006_5d2f27,calendar_006,gemini_20_flash,calendar,no_interceptor,"Okay, I've created an event called 'Sprint Review' on 2024-09-01 at 11:00 for 45 minutes.",False,,0,True,False,6.64e-05,2
ctrl_gemini_20_flash_calendar_008_819589,calendar_008,gemini_20_flash,calendar,no_interceptor,Event scheduled.,False,,0,True,False,5.53e-05,2
ctrl_gemini_20_flash_calendar_009_bc804e,calendar_009,gemini_20_flash,calendar,no_interceptor,OK. I am checking your calendar for events on 2024-07-22.,False,,0,True,False,4.08e-05,2
ctrl_gemini_20_flash_calendar_010_c98220,calendar_010,gemini_20_flash,calendar,no_interceptor,Event EVT_7883 deleted.,False,,0,True,False,3.3700000000000006e-05,2
ctrl_gemini_20_flash_calendar_011_ea64fe,calendar_011,gemini_20_flash,calendar,no_interceptor,Event created.,False,,0,True,False,5.2000000000000004e-05,2
ctrl_gemini_20_flash_calendar_012_712251,calendar_012,gemini_20_flash,calendar,no_interceptor,No events found for 2024-07-01.,False,,0,True,False,3.65e-05,2
ctrl_gemini_20_flash_calendar_013_cb7ece,calendar_013,gemini_20_flash,calendar,no_interceptor,"Okay, I've scheduled a 45-minute 'All Hands' for 2024-07-22 at 14:00.",False,,0,True,False,6.82e-05,2
